Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Training Stress Score®;Grit;Flow;Total Strokes;Avg. Swolf;Avg Stroke Rate;Total Reps;Decompression;Best Lap Time;Number of Laps;Max Temp;Stress Change;Stress Start;Stress End;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;22/04/2024 17:53;false;Santiago de Surco Running;6.17;337;00:33:21;148;164;177;197;05:24;04:25;21;84;1.04;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:44.7;7;NaN;--;--;--;00:33:17;00:33:21;75;151
Running;20/04/2024 05:55;false;Santiago de Surco Running;4.12;233;00:23:57;147;170;175;189;05:49;04:38;--;84;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:32.1;5;NaN;--;--;--;00:23:56;00:23:57;29;118
Running;19/04/2024 05:01;false;Santiago de Surco Running;14.07;826;01:20:07;154;167;172;181;05:42;04:37;43;137;1.02;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:18.6;15;NaN;--;--;--;01:19:56;01:20:07;8;106
Running;18/04/2024 04:59;false;Santiago de Surco Running;8.34;457;00:44:30;152;170;177;189;05:20;04:16;11;112;1.06;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:32.2;9;NaN;--;--;--;00:44:24;00:44:30;44;146
Running;17/04/2024 06:15;false;Santiago de Surco Running;5.02;274;00:27:37;149;158;180;189;05:30;04:21;4;94;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.3;6;NaN;--;--;--;00:27:34;00:27:37;48;139
Running;16/04/2024 22:01;false;Santiago de Surco Running;2.44;159;00:16:29;152;179;166;173;06:46;05:48;--;70;0.89;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;02:54.1;3;NaN;--;--;--;00:16:29;00:16:29;108;181
Running;15/04/2024 05:16;false;Santiago de Surco Running;10.7;566;00:59:32;144;164;178;187;05:34;04:39;22;207;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;03:25.1;11;NaN;--;--;--;00:59:25;00:59:32;-44;147
Running;14/04/2024 21:16;false;Santiago de Surco Running;4.11;289;00:26:09;163;183;168;181;06:22;05:05;2;82;0.94;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:33.3;5;NaN;--;--;--;00:26:07;00:26:09;65;147
Running;13/04/2024 07:43;false;Santiago de Surco Running;8.05;441;00:46:25;144;163;172;185;05:46;05:12;34;71;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:15.2;9;NaN;--;--;--;00:46:22;00:46:25;135;182
Running;11/04/2024 18:29;false;Santiago de Surco Running;5.39;280;00:31:01;136;158;174;195;05:45;04:00;10;74;1;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:34.5;6;NaN;--;--;--;00:30:55;00:31:01;79;145
Running;9/04/2024 05:19;false;Santiago de Surco Running;10.25;595;00:56:04;155;169;178;187;05:28;04:44;68;221;1.03;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:08.6;11;NaN;--;--;--;00:55:52;00:56:04;-62;97
Running;6/04/2024 05:24;false;Santiago de Surco Running;6.39;369;00:37:11;148;171;177;187;05:49;04:59;11;91;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:49.6;7;NaN;--;--;--;00:37:05;00:37:11;52;137
Running;5/04/2024 05:07;false;Santiago de Surco Running;8.27;507;00:47:55;157;169;177;185;05:47;02:03;24;76;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:16.1;9;NaN;--;--;--;00:47:50;00:47:55;2;58
Running;4/04/2024 05:12;false;Santiago de Surco Running;6.52;394;00:39:30;147;162;177;187;06:04;04:31;53;186;0.93;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;02:15.4;7;NaN;--;--;--;00:39:25;00:39:30;-9;155
Running;28/03/2024 05:01;false;Santiago de Surco Running;14.03;794;01:18:06;152;167;178;193;05:34;04:36;48;181;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:07.1;15;NaN;--;--;--;01:17:56;01:18:06;-24;109
Running;26/03/2024 05:07;false;Santiago de Surco Running;8.14;468;00:48:56;144;160;175;187;06:01;04:27;34;193;0.95;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:36.2;9;NaN;--;--;--;00:48:45;00:48:56;2;174
Running;25/03/2024 05:19;false;Santiago de Surco Running;8.29;437;00:46:52;140;159;177;191;05:39;04:42;20;150;1;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:26.7;9;NaN;--;--;--;00:46:49;00:46:52;-4;124
Running;24/03/2024 21:01;false;Santiago de Surco Running;8.87;479;00:49:32;144;165;176;193;05:35;04:26;16;140;1.02;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;03:57.2;9;NaN;--;--;--;00:49:22;00:49:32;-40;89
Cardio;23/03/2024 09:03;false;Cardio;0;140;00:48:47;83;112;--;--;--;--;--;--;NaN;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:48:47;1;NaN;--;--;--;00:00:00;00:48:47;-39;-26
Running;23/03/2024 07:04;false;Santiago de Surco Running;6.27;387;00:36:21;155;169;172;181;05:48;04:58;19;79;1;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:25.4;7;NaN;--;--;--;00:36:11;00:36:21;-30;34
Running;22/03/2024 06:13;false;Santiago de Surco Running;1.66;84;09:51.1;132;146;174;189;05:57;04:36;2;44;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;03:27.8;2;NaN;--;--;--;00:09:45;09:51.1;60;106
Running;20/03/2024 06:33;false;Santiago de Surco Running;8.37;513;00:48:51;154;167;170;179;05:50;04:47;30;182;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:48.2;9;NaN;--;--;--;00:48:22;00:48:51;-5;147
Running;18/03/2024 21:35;false;Santiago de Surco Running;6.29;377;00:36:37;151;181;174;188;05:49;04:26;26;57;0.99;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:17.6;7;NaN;--;--;--;00:36:36;00:36:37;-101;-64
Running;17/03/2024 21:25;false;Santiago de Surco Running;5.39;298;00:31:57;138;154;173;198;05:56;04:47;27;42;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:44.9;6;NaN;--;--;--;00:31:52;00:31:57;-97;-69
Running;15/03/2024 07:34;false;Running;6.02;358;00:32:55;155;186;168;177;05:28;05:14;14;61;1.09;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.8;7;NaN;--;--;--;00:32:54;00:32:55;-38;16
Running;13/03/2024 21:36;false;Running;10.02;535;00:53:40;145;165;171;181;05:21;04:53;71;30;1.09;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.5;11;NaN;--;--;--;00:53:29;00:53:40;-78;-3
Running;9/03/2024 06:28;false;Santiago de Surco Running;16.24;868;01:30:44;148;168;177;191;05:35;04:47;73;91;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:02.2;17;NaN;--;--;--;01:30:33;01:30:44;-74;-28
Running;8/03/2024 07:29;false;Santiago de Surco Running;10.13;636;00:59:45;156;176;175;189;05:54;04:53;55;90;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:35.8;11;NaN;--;--;--;00:59:12;00:59:45;-34;10
Running;5/03/2024 22:00;false;Santiago de Surco Running;5.54;297;00:32:12;139;155;168;181;05:49;04:56;13;58;1.02;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;02:39.1;6;NaN;--;--;--;00:32:09;00:32:12;3;52
Running;29/02/2024 07:05;false;Santiago de Surco Running;8.02;515;00:49:21;155;185;166;181;06:09;05:14;47;186;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:06.5;9;NaN;--;--;--;00:47:51;00:49:21;0;149
