Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Pace_min,time_in_minutes,year,month,day
Running,2024-01-20 07:17:00,3.02,159.0,2024-08-12 00:15:30,147.0,164.0,183.0,200.0,,,5.0,61.0,1.06,4.0,2024-08-12 00:15:28,2024-08-12 00:15:30,-22.0,39.0,,,2024,1,20
Running,2024-01-19 19:49:00,6.02,318.0,2024-08-12 00:32:45,144.0,163.0,183.0,200.0,,,11.0,47.0,1.01,7.0,2024-08-12 00:32:33,2024-08-12 00:32:45,-12.0,31.0,,,2024,1,19
Running,2024-01-18 05:25:00,12.01,718.0,2024-08-12 01:10:59,149.0,164.0,183.0,193.0,,,48.0,110.0,0.93,13.0,2024-08-12 01:10:46,2024-08-12 01:11:06,75.0,141.0,,,2024,1,18
Running,2024-01-13 06:56:00,10.72,687.0,2024-08-12 01:05:00,157.0,173.0,177.0,195.0,,,27.0,61.0,0.93,11.0,2024-08-12 01:04:58,2024-08-12 01:05:00,115.0,156.0,,,2024,1,13
Running,2024-11-01 17:55:00,10.1,561.0,2024-08-12 00:58:52,148.0,170.0,171.0,198.0,,,45.0,87.0,1.0,11.0,2024-08-12 00:57:18,2024-08-12 00:58:52,109.0,157.0,,,2024,11,1
Running,2024-10-01 17:57:00,3.31,193.0,2024-08-12 00:19:20,146.0,164.0,167.0,181.0,,,7.0,46.0,1.03,4.0,2024-08-12 00:19:19,2024-08-12 00:19:20,168.0,213.0,,,2024,10,1
Running,2024-08-01 21:06:00,6.06,425.0,2024-08-12 00:40:48,148.0,163.0,174.0,191.0,,,20.0,58.0,0.86,7.0,2024-08-12 00:40:47,2024-08-12 00:40:48,157.0,195.0,,,2024,8,1
Running,2024-05-01 05:59:00,3.95,264.0,2024-08-12 00:27:41,149.0,167.0,172.0,245.0,,,,55.0,0.83,4.0,2024-08-12 00:27:32,2024-08-12 00:27:41,97.0,154.0,,,2024,5,1
Running,2024-04-01 21:06:00,8.14,513.0,2024-08-12 00:46:24,157.0,176.0,179.0,193.0,,,13.0,55.0,0.98,9.0,2024-08-12 00:46:23,2024-08-12 00:46:24,147.0,211.0,,,2024,4,1
Running,2024-02-01 21:20:00,5.15,314.0,2024-08-12 00:29:25,151.0,166.0,176.0,193.0,,,9.0,49.0,0.99,6.0,2024-08-12 00:29:18,2024-08-12 00:29:46,64.0,112.0,,,2024,2,1
